pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus
470460466,Sledgehammer_lambdas/fta/fta0005.pfho.p,8265626,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.048668,0.0485841,113188,Theorem,THM-Prf,Prf,THM
470459578,Sledgehammer_lambdas/fta/fta0006.pfho.p,8265404,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.56608,1.56307,154464,Theorem,THM-Prf,Prf,THM
470460642,Sledgehammer_lambdas/fta/fta0007.pfho.p,8265670,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.081693,0.0820781,113188,Theorem,THM-Prf,Prf,THM
470460518,Sledgehammer_lambdas/fta/fta0008.pfho.p,8265639,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.047718,0.0473761,113188,Theorem,THM-Prf,Prf,THM
470459342,Sledgehammer_lambdas/fta/fta0009.pfho.p,8265345,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.111073,0.110463,113188,Theorem,THM-Prf,Prf,THM
470459550,Sledgehammer_lambdas/fta/fta0010.pfho.p,8265397,vampire_polymorphic_csup,26467,casc_abs,344626,complete,3.70546,3.6906,154212,Theorem,THM-Prf,Prf,THM
470460726,Sledgehammer_lambdas/fta/fta0011.pfho.p,8265691,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.08,298.519,694244,--,UNK-Non,Non,UNK
470459294,Sledgehammer_lambdas/fta/fta0012.pfho.p,8265333,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.049906,0.0497581,113188,Theorem,THM-Prf,Prf,THM
470460490,Sledgehammer_lambdas/fta/fta0013.pfho.p,8265632,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.02,298.11,1991412,--,UNK-Non,Non,UNK
470459966,Sledgehammer_lambdas/fta/fta0014.pfho.p,8265501,vampire_polymorphic_csup,26467,casc_abs,344626,complete,33.165,32.971,295212,Theorem,THM-Prf,Prf,THM
470460238,Sledgehammer_lambdas/fta/fta0015.pfho.p,8265569,vampire_polymorphic_csup,26467,casc_abs,344626,complete,1.96097,1.95679,164192,Theorem,THM-Prf,Prf,THM
470459806,Sledgehammer_lambdas/fta/fta0016.pfho.p,8265461,vampire_polymorphic_csup,26467,casc_abs,344626,complete,0.552728,0.550355,113188,Theorem,THM-Prf,Prf,THM
470460046,Sledgehammer_lambdas/fta/fta0017.pfho.p,8265521,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.06,298.311,823976,--,UNK-Non,Non,UNK
470460282,Sledgehammer_lambdas/fta/fta0018.pfho.p,8265580,vampire_polymorphic_csup,26467,casc_abs,344626,timeout (cpu),300.07,298.338,788284,--,UNK-Non,Non,UNK
