pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus,,5005
469182508,Sledgehammer_lambdas/fta/fta0105.pfho.p,8265546,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.355984,0.539562,119288,Theorem,THM-Prf,Prf,THM,,
469182292,Sledgehammer_lambdas/fta/fta0106.pfho.p,8265474,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.171918,0.38587,119288,Theorem,THM-Prf,Prf,THM,,
469182652,Sledgehammer_lambdas/fta/fta0107.pfho.p,8265594,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.174938,0.408143,119288,Theorem,THM-Prf,Prf,THM,,
469182553,Sledgehammer_lambdas/fta/fta0108.pfho.p,8265561,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.06,298.606,1065008,--,UNK-Non,Non,UNK,,
469182124,Sledgehammer_lambdas/fta/fta0109.pfho.p,8265418,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.630805,0.878193,197444,Theorem,THM-Prf,Prf,THM,,
469182277,Sledgehammer_lambdas/fta/fta0110.pfho.p,8265469,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.585731,0.748025,197060,Theorem,THM-Prf,Prf,THM,,
469182709,Sledgehammer_lambdas/fta/fta0111.pfho.p,8265613,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.05,298.648,698200,--,UNK-Non,Non,UNK,,
469182121,Sledgehammer_lambdas/fta/fta0112.pfho.p,8265417,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,4.93699,5.0704,207808,Theorem,THM-Prf,Prf,THM,,
469182529,Sledgehammer_lambdas/fta/fta0113.pfho.p,8265553,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.066,298.552,551064,--,UNK-Non,Non,UNK,,
469182004,Sledgehammer_lambdas/fta/fta0114.pfho.p,8265378,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.83955,2.0398,201284,Theorem,THM-Prf,Prf,THM,,
469182961,Sledgehammer_lambdas/fta/fta0115.pfho.p,8265697,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.079,298.737,549852,--,UNK-Non,Non,UNK,,
469181848,Sledgehammer_lambdas/fta/fta0116.pfho.p,8265326,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.72116,1.94948,199876,Theorem,THM-Prf,Prf,THM,,
469182829,Sledgehammer_lambdas/fta/fta0117.pfho.p,8265653,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.68302,1.91767,203332,Theorem,THM-Prf,Prf,THM,,
469183003,Sledgehammer_lambdas/fta/fta0118.pfho.p,8265711,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.077,298.602,1145128,--,UNK-Non,Non,UNK,,
469181950,Sledgehammer_lambdas/fta/fta0119.pfho.p,8265360,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.148,298.694,648560,--,UNK-Non,Non,UNK,,
469182754,Sledgehammer_lambdas/fta/fta0120.pfho.p,8265628,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,10.237,10.3686,231096,Theorem,THM-Prf,Prf,THM,,
469181881,Sledgehammer_lambdas/fta/fta0121.pfho.p,8265337,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.172061,0.398327,119288,Theorem,THM-Prf,Prf,THM,,
469182952,Sledgehammer_lambdas/fta/fta0122.pfho.p,8265694,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.69572,1.92022,202564,Theorem,THM-Prf,Prf,THM,,
469182055,Sledgehammer_lambdas/fta/fta0123.pfho.p,8265395,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,1.69679,1.84988,199876,Theorem,THM-Prf,Prf,THM,,
469182445,Sledgehammer_lambdas/fta/fta0124.pfho.p,8265525,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,complete,0.197795,0.359791,119288,Theorem,THM-Prf,Prf,THM,,
469182241,Sledgehammer_lambdas/fta/fta0125.pfho.p,8265457,Vampire---THF-4.4,25871,Vampire---THF-4.4,343554,timeout (cpu),300.078,298.514,1113148,--,UNK-Non,Non,UNK,,
